predicted forward vel,predicted angular vel
7.21271,0.012564767
7.1362624,0.014215118
7.105589,0.011224171
7.09016,0.009511117
7.1011863,0.0029183347
7.3690057,0.0020177923
7.5250683,0.005209828
7.6331673,0.00543028
7.5873127,0.009687248
7.633205,0.011811493
7.6652956,0.015038886
7.6984653,0.017631985
7.60935,0.019760517
7.5239024,0.018034201
7.515629,0.012611677
7.5830364,0.0016561458
7.9273057,-0.009195112
7.994723,-0.001643477
8.349613,0.00069856737
8.618332,0.003713403
8.678345,0.0015330799
8.585905,-0.009308996
8.661961,-0.010352282
8.850526,-0.019090818
9.079723,-0.017198006
9.093975,-0.015893558
9.102867,-0.011978248
9.0796585,-0.0117239505
9.004795,-0.00090074353
9.30481,-0.0032992773
9.63377,-0.0037284512
9.9264965,0.0022531003
10.021566,-0.003331298
9.921026,-0.0026692543
9.965054,-0.0014278553
9.959021,-0.002204949
10.007882,-0.0064723436
10.109186,-0.0045829583
10.091816,-0.0057332087
10.259368,-0.0025689397
10.415125,0.00021865219
10.347898,0.006611325
10.406956,-0.0013091434
10.194236,-0.00013881549
10.143035,-0.0042485464
10.125845,-0.00023316033
10.276259,-0.0015685726
10.109434,0.0018242896
10.309341,0.007033131
10.432615,0.0085980045
10.527098,0.016215155
10.448,0.017520895
10.31502,0.012154624
10.122505,0.008692588
10.096063,0.001144385
10.104814,0.0041565225
10.302788,-0.0018309075
10.324463,0.001063779
10.432977,0.0010051215
10.143638,0.0054848874
9.993605,0.009891831
10.126659,0.006896221
9.68988,0.009493627
10.158899,0.0067337174
10.295054,0.005799679
10.222446,0.002297502
9.887981,0.011182355
9.49467,0.005717136
9.353386,0.0030634599
9.107485,0.0024712002
8.7829075,-0.0027751513
8.190755,-0.003905695
8.090675,-0.0074358713
8.041725,-0.009618657
7.7807784,-0.0076025575
7.568506,-0.0063308794
7.2398176,-0.0043065306
6.8660884,-0.018028406
6.6317844,-0.038438372
6.3487463,-0.07145524
6.345687,-0.013537237
6.378727,-0.019189028
6.2322073,-0.014192926
5.865662,-0.014099183
5.9376125,-0.017390719
5.77501,-0.016466992
5.3224688,-0.012234272
5.146036,-0.009619208
4.9208493,-0.00441147
5.0554123,0.0060892897
5.0068827,0.013176544
5.0541677,0.026473913
4.824904,0.06964139
4.8123145,0.10825775
4.563333,0.0032456238
4.3015876,-0.05277861
4.339374,-0.027762478
4.4286027,-0.049687475
4.4418516,-0.13494594
4.2793126,-0.21217
4.2507915,-0.28906778
4.1756554,-0.21291208
3.950159,-0.2874803
3.9625719,-0.22754823
3.837855,-0.21247669
3.925494,-0.3041708
3.6907682,-0.2519899
3.9898813,-0.27479896
3.754517,-0.38021985
3.8074265,-0.40553227
3.8555977,-0.39735144
3.8928118,-0.17142151
3.8520925,-0.19520773
3.6171167,-0.23228557
3.498709,-0.2919116
3.5765817,-0.3900836
3.600796,-0.37164852
3.5300775,-0.36658597
3.535535,-0.45232323
3.7333531,-0.37994593
3.6918032,-0.29062003
3.764817,-0.34813452
3.711083,-0.46745783
3.775596,-0.4157121
4.2480865,-0.18136099
4.5591154,-0.1996378
4.135425,-0.26405126
4.4886227,-0.2304862
4.4752016,-0.23903556
4.611716,-0.19784051
4.568555,-0.15676785
4.80829,-0.12372592
4.9740047,-0.13117419
5.132596,-0.108521946
5.1766577,-0.12143527
5.4299116,-0.11876255
5.930049,-0.0788987
6.1869016,-0.052317902
6.488493,-0.048145548
6.677914,-0.039634466
6.869729,-0.006215453
6.9796534,0.0055869194
7.1803594,0.018738434
7.252657,0.014142638
7.4356537,0.018734738
7.588137,0.025072502
7.687917,0.030395783
7.6949015,0.026216466
7.8599696,0.026165064
7.842997,0.021966781
7.956656,0.026038762
8.07789,0.044093147
8.19179,0.047880284
8.325655,0.05486486
8.277086,0.036031812
8.20924,0.0308308
8.08102,0.028603833
8.11746,0.03873959
8.055559,0.045402892
8.051635,0.02636337
8.053371,-0.005865345
8.126481,-0.010254355
8.19583,-0.019036533
8.035265,-0.011585573
8.093293,-0.022324411
7.9780836,-0.048099115
8.015927,-0.063854575
7.903324,-0.069843866
7.8461995,-0.07783348
7.8472896,-0.06633136
7.7926464,-0.044709563
7.913704,-0.010395741
7.7837386,-0.025598152
7.7042885,-0.0036817007
7.735276,-0.0008639842
7.715403,0.0034484975
7.881506,0.00791363
7.7566986,0.017938402
7.8230963,0.019966982
7.7755795,0.024331799
7.670434,0.029826164
7.089531,0.03931277
6.688675,0.030243862
6.875383,-0.009558821
6.4522614,0.029488556
