timestep,for vel,ang vel
1,9.391563,0.09531123
2,9.859108,0.104453884
3,9.657368,0.10335346
4,9.519595,0.10419422
5,9.594858,0.09507588
6,9.716401,0.09916843
7,10.119979,0.0973045
8,10.1254835,0.09758157
9,9.796103,0.0834577
10,10.384953,0.08941945
11,10.682502,0.09545951
12,11.18705,0.101445965
13,11.082836,0.09192983
14,10.768263,0.07561791
15,10.359332,0.05738458
16,10.670989,0.06801356
17,9.9412155,0.058598183
18,8.836135,0.03849718
19,7.470784,0.0120943785
20,6.6569366,-0.0077620484
21,6.6619844,-0.003656311
22,6.7401223,-0.013037022
23,6.7867584,-0.0076753087
24,6.508173,-0.0141829625
25,6.971295,0.0049712583
26,7.9804635,0.036363944
27,8.33242,0.0469703
28,8.469818,0.050980516
29,8.971495,0.06672045
30,9.229791,0.07675414
31,9.684531,0.090903305
32,10.494079,0.117219366
33,10.886391,0.12662727
34,11.58418,0.14662597
35,12.570042,0.17209867
36,12.850625,0.1771672
37,12.997145,0.17918932
38,12.79422,0.17395061
39,12.759907,0.1697306
40,12.806328,0.16953874
41,12.715825,0.16598931
42,12.5307865,0.16455162
43,12.4316635,0.15942264
44,12.0402565,0.15757191
45,12.394714,0.16035825
46,12.419746,0.16063988
47,12.6912,0.1661722
48,12.94074,0.16770795
49,13.0225525,0.16819048
50,12.932876,0.16808656
51,13.036409,0.17107865
52,13.090208,0.1715599
53,12.928739,0.16202897
54,13.206113,0.16957742
55,13.34058,0.15869576
56,13.63409,0.17006564
57,13.526957,0.16591552
58,13.531818,0.16610384
59,13.66327,0.17119601
60,13.5078335,0.17127016
61,13.619914,0.18039417
62,14.031034,0.18590301
63,14.175375,0.19103378
64,14.293272,0.19560087
65,14.474103,0.20260581
66,14.609402,0.207847
67,14.723109,0.21225175
68,14.5407715,0.2051884
69,14.421703,0.200576
70,14.242611,0.19363838
71,14.44972,0.20166129
72,14.704834,0.21154383
73,14.730236,0.21252784
74,14.729748,0.21250892
75,14.745734,0.21312821
76,14.649057,0.20938319
77,15.18786,0.23025516
78,14.970265,0.22182605
79,15.127449,0.22791499
80,15.322237,0.23546064
81,15.159548,0.2291584
82,14.935156,0.22046599
83,14.519418,0.21007895
84,14.594397,0.20726573
85,13.661879,0.17707929
86,13.29604,0.1876578
87,14.314464,0.1973078
88,14.324964,0.20331341
89,13.214369,0.18542027
90,12.569938,0.1727911
91,12.300978,0.16505021
92,11.049438,0.13610953
93,10.344793,0.11319474
94,8.823014,0.08324961
95,8.310399,0.08122366
96,10.439584,0.12216579
97,10.269995,0.12306378
98,9.804273,0.113267295
99,9.792501,0.11301748
100,9.1336775,0.083831206
101,10.721342,0.1330632
102,10.304014,0.1264357
103,11.578884,0.24298638
104,11.998892,0.49117598
105,11.390484,0.16074485
106,10.388739,0.11434867
107,9.288985,0.08429452
108,8.239475,0.061328515
109,9.27546,0.06962251
110,10.209691,0.053714722
111,10.263301,0.046689853
112,10.807137,0.08100432
113,11.25609,0.094504155
114,10.325208,0.09291702
115,10.188242,0.092369504
116,10.583849,0.10567396
117,10.131543,0.09074419
118,9.112568,0.056409948
119,10.080757,0.093687765
120,9.881558,0.09117911
121,9.096193,0.075086616
122,8.957756,0.07636531
123,9.003929,0.07740902
124,9.633901,0.09742031
125,9.252012,0.086767346
126,10.473999,0.1297426
127,9.768009,0.112618335
128,10.210338,0.11988797
129,10.686575,0.11809727
130,11.310461,0.124567546
131,11.343606,0.12014153
132,10.133585,0.09496153
133,9.807227,0.06827955
134,9.993988,0.06114667
135,9.805269,0.05292076
136,9.834292,0.05687376
137,10.402136,0.0797412
138,10.410313,0.07389758
139,10.904001,0.111680426
140,10.827502,0.11102181
141,10.988659,0.11642649
142,11.140826,0.11872948
143,11.145289,0.11006362
144,11.190611,0.122778185
145,11.542191,0.14295757
146,11.348528,0.13675544
147,11.465978,0.14102465
148,11.365051,0.1344125
149,10.729792,0.11449673
150,10.940212,0.121474095
151,11.261396,0.13387135
152,11.059511,0.12726337
153,11.782714,0.14283797
154,11.757931,0.14203086
155,11.475452,0.13126981
156,11.421684,0.12639865
157,10.929922,0.117899485
158,10.698166,0.11571578
159,10.717707,0.11919279
160,11.133177,0.12844685
161,11.299801,0.1251387
162,11.966974,0.121338554
163,11.842911,0.109833516
164,11.891553,0.10306919
165,11.919545,0.11230717
166,11.6375675,0.10079684
167,11.53868,0.09824095
168,11.647907,0.09754921
169,11.736671,0.10283839
170,11.857126,0.11252362
171,11.517893,0.10891295
172,11.801861,0.10899829
173,11.721182,0.108050294
174,11.815786,0.109771855
175,11.894956,0.107388
176,11.86422,0.101504855
177,11.186065,0.07523469
178,10.944146,0.06586334
179,10.973146,0.06698673
180,10.936201,0.065555565
181,10.5711155,0.051412962
182,10.836002,0.06167409
183,10.97995,0.06725026
184,10.444129,0.0464938
185,10.141133,0.034756437
186,10.630289,0.053705215
187,10.468913,0.04745388
188,10.839768,0.06181997
189,10.673446,0.05537699
190,10.469662,0.047482863
191,10.990884,0.067673825
192,11.005237,0.06822984
193,10.966607,0.066733405
194,11.258371,0.078035675
195,11.441046,0.08511207
196,11.481445,0.09614257
197,10.739946,0.074868545
198,10.9494915,0.08741716
199,11.090103,0.085568614
200,11.109827,0.07228141
201,11.5322,0.08864319
202,10.803066,0.060398206
