predicted_x,predicted_y,predicted_theta
0.010600586,0.2237887,1.5546594
0.011663432,0.27617383,1.5020276
0.013994921,0.3086832,1.4450773
0.017312847,0.33523688,1.388445
0.022946235,0.36617818,1.3338759
0.033608835,0.41104642,1.2784216
0.055861264,0.48584118,1.2186466
0.09827463,0.6024666,1.1554937
0.16399851,0.75164324,1.0900242
0.24751392,0.9123025,1.0234574
0.34787804,1.0772156,0.9586037
0.45769203,1.2338558,0.89735574
0.57138145,1.3763415,0.83963543
0.7053364,1.526837,0.7844949
0.8732331,1.695211,0.7342497
1.0728036,1.8759322,0.686373
1.3098913,2.070428,0.6376219
1.5783617,2.2704916,0.5923448
1.8651469,2.46395,0.552672
2.17574,2.6560287,0.51479614
2.5214624,2.852853,0.4805754
2.9016378,3.0524037,0.45260876
3.3102374,3.2517114,0.42858127
3.7423673,3.449491,0.40587917
4.191654,3.642336,0.3823622
4.661999,3.8315005,0.35742766
5.1540456,4.015168,0.33120152
5.6676354,4.1918373,0.3039478
6.1994305,4.359,0.27701616
6.746855,4.515266,0.25193572
7.3075504,4.659737,0.22792199
7.882299,4.793259,0.20416446
8.468679,4.9148555,0.18078217
9.066513,5.0240355,0.15700626
9.67536,5.120556,0.13290077
10.296777,5.203984,0.10936842
10.931921,5.273546,0.0852887
11.576,5.3286386,0.06040975
12.229577,5.3686376,0.0363304
12.89725,5.3933754,0.013538367
13.5768795,5.402872,-0.008391843
14.265173,5.396799,-0.03108064
14.948277,5.374846,-0.05598902
15.6212845,5.336459,-0.08317752
16.290224,5.2804785,-0.1117577
16.9713,5.2040224,-0.14167702
17.667818,5.1052856,-0.17184965
18.380281,4.9819317,-0.20197958
19.109377,4.833404,-0.2317438
19.848522,4.6597376,-0.2600197
20.594896,4.461944,-0.2864071
21.344368,4.2421875,-0.3102921
22.087143,4.0048876,-0.3308381
22.815928,3.756132,-0.3458621
23.526756,3.501052,-0.35475513
24.21685,3.2461724,-0.35892993
24.897863,2.9906237,-0.36112723
25.579685,2.732159,-0.3655606
26.26606,2.468278,-0.37408963
26.957989,2.1967075,-0.38446158
27.658144,1.9133222,-0.39523286
28.366322,1.6176972,-0.4068477
29.062109,1.3180405,-0.41827267
29.739798,1.017366,-0.42794168
30.403845,0.715534,-0.43434098
31.058758,0.4122305,-0.4381005
31.707747,0.10853287,-0.44041392
32.3524,-0.19503851,-0.44172543
32.989418,-0.49609235,-0.44228253
33.622917,-0.7960123,-0.44240153
34.259903,-1.0979886,-0.4428814
34.911644,-1.4069629,-0.44330722
35.577656,-1.7232803,-0.44358206
36.253944,-2.0445883,-0.44379166
36.93314,-2.3674793,-0.4438861
37.612488,-2.690528,-0.44394505
38.294792,-3.015097,-0.4441046
38.982307,-3.3422844,-0.4444441
39.673985,-3.671805,-0.44508213
40.3689,-4.0034122,-0.44610423
41.071102,-4.339247,-0.44725126
41.786255,-4.6822057,-0.44817242
42.51225,-5.0313487,-0.44906694
43.249817,-5.386732,-0.44990134
43.9879,-5.743015,-0.45035508
44.73393,-6.103797,-0.45077118
45.490673,-6.470212,-0.45153612
46.25439,-6.840645,-0.452593
47.01803,-7.211954,-0.45370802
47.782097,-7.5846334,-0.4549675
48.5443,-7.957781,-0.45680723
49.309822,-8.334332,-0.45950493
50.073307,-8.712299,-0.4628456
50.83647,-9.093051,-0.46625656
51.589817,-9.472419,-0.46994573
52.329353,-9.848216,-0.4740932
53.06376,-10.22519,-0.4786107
53.804058,-10.609263,-0.48327732
54.550938,-11.000699,-0.4871115
55.300243,-11.397203,-0.48975855
56.046455,-11.794686,-0.49145654
56.78702,-12.190411,-0.49164104
57.5253,-12.585743,-0.4910555
58.262806,-12.980128,-0.49046394
58.99448,-13.370806,-0.4898421
59.723236,-13.759197,-0.48890808
60.456577,-14.149785,-0.48858392
61.197437,-14.544326,-0.4899705
61.93181,-14.936128,-0.49233627
62.65421,-15.323484,-0.49461296
63.36691,-15.707648,-0.49634477
64.077225,-16.092367,-0.49788502
64.77765,-16.472733,-0.49880207
65.473114,-16.851254,-0.49868423
66.170876,-17.23121,-0.49811003
66.86721,-17.610035,-0.49771258
67.56437,-17.988901,-0.49759322
68.26102,-18.367245,-0.49744433
68.96146,-18.747574,-0.49722123
69.66627,-19.12999,-0.49685928
70.36018,-19.50568,-0.4953635
71.05136,-19.878994,-0.4929457
71.74313,-20.25058,-0.49034816
72.43995,-20.622746,-0.48803753
73.137474,-20.992853,-0.4855757
73.83548,-21.360914,-0.48238498
74.53268,-21.72606,-0.47898933
75.23121,-22.088745,-0.47552025
75.907524,-22.437593,-0.4731999
76.58142,-22.783443,-0.47319284
77.237305,-23.11971,-0.47508416
77.87863,-23.450043,-0.47842732
78.50281,-23.773846,-0.48246345
79.13294,-24.103996,-0.4869246
79.76342,-24.437632,-0.49120167
80.37544,-24.764156,-0.49338013
80.98546,-25.091604,-0.4931607
81.598335,-25.420704,-0.49151102
82.22125,-25.75444,-0.48999608
82.85376,-26.092293,-0.48980927
83.495415,-26.434565,-0.49059868
84.14695,-26.78277,-0.49194923
84.791824,-27.12809,-0.49298874
85.453255,-27.484081,-0.4949973
86.133446,-27.851429,-0.49823925
86.80393,-28.215548,-0.50045556
87.46602,-28.578735,-0.5038459
88.13096,-28.945562,-0.5091008
88.79297,-29.31548,-0.51542544
89.44544,-29.685556,-0.5230212
90.08436,-30.0543,-0.531704
90.714645,-30.425255,-0.5411281
91.34321,-30.80288,-0.5506247
91.971855,-31.188606,-0.5595941
92.60344,-31.584177,-0.56833375
93.249466,-31.996864,-0.57778627
93.88827,-32.413235,-0.58736056
94.52296,-32.835693,-0.5963499
95.15364,-33.26446,-0.6065875
95.772385,-33.693157,-0.6162412
96.37913,-34.12321,-0.62515765
96.97326,-34.552467,-0.6349282
97.545334,-34.97313,-0.6429608
98.10918,-35.39645,-0.6511216
98.67336,-35.826153,-0.66023505
99.2299,-36.25804,-0.6685459
99.797165,-36.7059,-0.67639977
100.373604,-37.16853,-0.68445015
100.943436,-37.633587,-0.69247526
101.493324,-38.090023,-0.70056343
101.99316,-38.512302,-0.7087384
102.493675,-38.940994,-0.71612966
103.0259,-39.403915,-0.72460717
103.569435,-39.885033,-0.7339414
104.11816,-40.379864,-0.7435228
104.66208,-40.87966,-0.75252765
105.19699,-41.380577,-0.76090074
105.72225,-41.879925,-0.76767236
106.21856,-42.359848,-0.77387506
106.70785,-42.838436,-0.7809732
107.195206,-43.321636,-0.7892
107.67377,-43.803738,-0.79719365
108.14542,-44.286724,-0.8050388
108.62649,-44.786667,-0.81257564
109.10972,-45.296505,-0.81921554
109.58382,-45.803677,-0.825076
110.04937,-46.30716,-0.8297107
110.48151,-46.779633,-0.8335878
110.91443,-47.255783,-0.83634615
111.35494,-47.742577,-0.8368203
111.799,-48.234634,-0.8358199
112.246254,-48.72883,-0.83363473
112.69094,-49.21862,-0.8307703
113.139435,-49.709908,-0.8280888
113.59987,-50.212246,-0.8268605
