predicted_x,predicted_y,predicted_theta
0.011033089,1.9294075,1.5751568
0.007525259,2.739877,1.5416808
0.029827489,3.487415,1.5096388
0.07313858,4.1909533,1.4781888
0.13465938,4.853415,1.4483081
0.21198048,5.4853153,1.4210634
0.3059182,6.111334,1.3962727
0.41758636,6.742987,1.3713802
0.54692614,7.381202,1.344541
0.6933141,8.018519,1.3176761
0.8559114,8.646992,1.2915902
1.0333147,9.265998,1.2659165
1.2263716,9.881311,1.2419072
1.4324464,10.48591,1.2199742
1.651682,11.083525,1.1975136
1.8823746,11.672087,1.1738153
2.1292753,12.262977,1.1515709
2.394711,12.859832,1.1311119
2.6751418,13.45605,1.110885
2.965401,14.041124,1.0898565
3.2731652,14.632371,1.0693587
3.6049676,15.239039,1.0502452
3.959653,15.858303,1.0315554
4.33545,16.48607,1.0119884
4.7291307,17.115051,0.99078214
5.1438947,17.747059,0.9670621
5.581018,18.379772,0.94027513
6.0406537,19.008812,0.9109657
6.520748,19.627422,0.8803679
7.0238843,20.236921,0.8496851
7.552039,20.83878,0.82017535
8.106445,21.434366,0.7926222
8.694414,22.032259,0.7669111
9.301269,22.617067,0.7419865
9.9286,23.192652,0.71743256
10.575807,23.757597,0.69329464
11.246229,24.315619,0.6702735
11.938624,24.865679,0.64936054
12.651395,25.408285,0.6311957
13.381598,25.943365,0.61599565
14.12759,26.472744,0.60347384
14.885758,26.996256,0.5931128
15.65303,27.513733,0.5836733
16.435076,28.030762,0.5745428
17.239134,28.552353,0.5656879
18.080591,29.088211,0.5569573
18.943575,29.62658,0.54785436
19.832663,30.170351,0.53929645
20.74908,30.720106,0.530947
21.696215,31.277523,0.5224753
22.670982,31.840038,0.51367235
23.658535,32.397804,0.50470126
24.660614,32.951782,0.49587816
25.669695,33.497787,0.48666766
26.70844,34.04864,0.4775294
27.776117,34.602474,0.46740696
28.876793,35.15958,0.4565872
29.999025,35.711746,0.44473535
31.137968,36.25559,0.43256992
32.293762,36.7897,0.41988277
33.46185,37.31187,0.40713263
34.637924,37.81889,0.3940189
35.82299,38.311756,0.38080114
37.015377,38.789127,0.36724207
38.22174,39.25392,0.35393932
39.4469,39.707733,0.34052604
40.714725,40.16067,0.32814306
42.007885,40.60274,0.31537357
43.332237,41.037186,0.3030716
44.680874,41.46047,0.2899818
46.08315,41.88382,0.2777648
47.545036,42.30647,0.2657614
49.0617,42.72518,0.25472134
50.60483,43.129635,0.24431075
52.15311,43.516567,0.23524445
53.68733,43.883945,0.2275002
55.22515,44.240852,0.2214528
56.788918,44.59396,0.21583483
58.34178,44.935,0.2108086
59.97961,45.28608,0.20502777
61.68134,45.641235,0.19658297
63.40102,45.984,0.18718702
65.12157,46.309494,0.17738438
66.84963,46.619934,0.16795242
68.58847,46.91595,0.1592713
70.342705,47.19942,0.15159035
72.10954,47.47063,0.14457187
73.90167,47.734673,0.13882715
75.70612,47.98915,0.13408105
77.53212,48.238007,0.1307092
79.38839,48.486004,0.12839541
81.27553,48.733788,0.12680204
83.185555,48.979855,0.1250362
85.08742,49.218338,0.122132115
86.98933,49.452866,0.12048629
88.8919,49.684204,0.12004333
90.79015,49.91138,0.11906594
92.69052,50.139076,0.11817499
94.58151,50.36239,0.1166166
129.46088,4.420461,-0.24655816
131.3402,3.944805,-0.25069523
133.14992,3.4774992,-0.25836104
134.95515,3.0000494,-0.26549098
136.77005,2.5077133,-0.27256152
138.61525,1.9964224,-0.27848017
140.47385,1.4682201,-0.28418672
142.34889,0.9220948,-0.29200977
144.25351,0.35522297,-0.29885504
146.16982,-0.23040347,-0.30485147
148.10594,-0.8350309,-0.3096248
150.06485,-1.4574686,-0.31364548
152.03601,-2.0919967,-0.3167094
154.03503,-2.7428262,-0.31941998
156.03366,-3.4027395,-0.3229931
158.03792,-4.0712657,-0.32594708
160.07658,-4.753806,-0.32699606
162.1043,-5.4417706,-0.32899153
164.12772,-6.1322765,-0.33063245
166.15236,-6.826893,-0.3319404
168.1851,-7.5265117,-0.33313102
170.2253,-8.230715,-0.33430076
172.2792,-8.940389,-0.33471298
174.34563,-9.654653,-0.333686
176.40474,-10.367697,-0.33196855
178.45303,-11.075985,-0.33007812
180.49153,-11.776737,-0.32831624
182.55455,-12.477493,-0.3261564
184.62326,-13.177293,-0.3255971
186.69974,-13.876954,-0.32557103
188.79596,-14.582514,-0.32591665
190.91797,-15.295744,-0.32687712
193.05493,-16.016315,-0.3282133
195.19981,-16.746386,-0.33070803
197.33621,-17.478653,-0.33360708
199.49327,-18.221598,-0.33473566
201.62964,-18.963211,-0.33442026
203.77826,-19.707684,-0.33271396
