predicted_x,predicted_y,predicted_theta
0.011762168,1.9126949,1.5610769
0.019344991,2.630657,1.5017748
0.060686193,3.2389848,1.4475948
0.124926515,3.757767,1.3968172
0.19764902,4.1757565,1.3509198
0.27526662,4.5254307,1.3075001
0.37054682,4.882794,1.2648914
0.48464474,5.244813,1.2251412
0.61306936,5.6000185,1.184352
0.74938655,5.9346986,1.1432045
0.89558786,6.2568336,1.1039958
1.0507771,6.566404,1.0695411
1.2376379,6.9106574,1.0394878
1.431636,7.241167,1.015667
1.6237437,7.5503926,0.99101853
1.8024995,7.8226123,0.96530336
1.9712137,8.067401,0.9406205
2.1386726,8.297904,0.91987246
2.303827,8.515277,0.902421
2.4652498,8.719993,0.88647646
2.6425545,8.937472,0.8704001
2.831605,9.161638,0.855664
3.033515,9.393879,0.8409429
3.2517807,9.637251,0.8246596
3.4670901,9.869492,0.80619645
3.6783323,10.088585,0.7822478
3.8943653,10.302561,0.7528078
4.1473804,10.539549,0.7177438
4.424094,10.781287,0.6791649
4.726651,11.0260515,0.6377917
5.0624485,11.275843,0.5944256
5.4468217,11.537686,0.55063564
5.8995895,11.818287,0.50678146
6.393953,12.093983,0.4636963
6.9466915,12.371638,0.41996554
7.548534,12.6419,0.37941325
8.214881,12.909091,0.34463444
8.940986,13.170859,0.31719232
9.715976,13.425465,0.29537237
10.531335,13.673321,0.2756843
11.386669,13.915056,0.25815085
12.26633,14.147632,0.24396223
13.171913,14.372572,0.23149176
14.12404,14.596382,0.2200333
15.123573,14.819109,0.2104977
16.18565,15.044907,0.20207196
17.266651,15.266048,0.19591685
18.368994,15.48411,0.18902129
19.488022,15.698232,0.18257195
20.63732,15.909506,0.17642207
21.821648,16.119593,0.16944917
23.019592,16.324219,0.16230562
24.234783,16.522495,0.15430723
25.452662,16.712336,0.14672387
26.712976,16.897501,0.13909347
28.003344,17.07818,0.13300197
29.32071,17.253756,0.12838978
30.662281,17.42592,0.122932866
32.020348,17.593794,0.117651835
33.412693,17.756668,0.11170725
34.8147,17.913511,0.104138024
36.214382,18.059683,0.09604466
37.595856,18.19234,0.08617055
38.932217,18.30807,0.07330815
40.24965,18.405123,0.056707535
41.561535,18.478996,0.037567206
42.91538,18.526491,0.01322697
44.326107,18.542074,-0.012736731
45.739914,18.521387,-0.040852677
47.13815,18.46392,-0.07632125
48.39593,18.378132,-0.11010816
49.561424,18.257448,-0.16135313
50.63086,18.091621,-0.2087698
51.659348,17.87357,-0.26838788
52.616344,17.62449,-0.29717845
53.414963,17.39245,-0.35269007
54.10826,17.14547,-0.40680826
54.761765,16.861656,-0.46939713
55.366165,16.563992,-0.5033584
55.99988,16.186052,-0.6548234
57.027866,15.352918,-0.67813295
58.20498,14.386814,-0.6571548
59.46028,13.368215,-0.69627565
60.816093,12.225515,-0.6871792
62.216652,11.024264,-0.72042817
63.711338,9.654627,-0.73275095
65.2676,8.23814,-0.7295135
66.84347,6.79045,-0.76023066
68.42483,5.26192,-0.773055
69.96095,3.9329343,-0.74826396
71.401566,2.5508604,-0.82538915
72.80745,0.9760398,-0.84547067
74.23102,-0.703474,-0.85741943
75.68602,-2.4459655,-0.86237794
77.17548,-4.2300253,-0.8512151
78.71578,-6.003696,-0.82156134
80.32561,-7.6995425,-0.7780952
81.97073,-9.271961,-0.7405423
83.62273,-10.729312,-0.7109643
85.279,-12.13294,-0.6872798
86.74619,-12.535113,-0.47492933
87.656975,-12.6562805,-0.47213802
88.27448,-12.966039,-0.5916571
89.170876,-13.676169,-0.6958756
90.28877,-14.678598,-0.6254807
91.55883,-15.6449995,-0.61653554
93.0296,-16.864016,-0.6827242
94.7335,-18.53913,-0.69443995
96.60097,-20.136986,-0.5917182
98.590576,-21.482403,-0.5714251
100.60499,-22.786123,-0.57136595
102.62977,-24.09817,-0.57380444
104.64267,-25.370121,-0.5668049
106.64482,-26.63129,-0.57247365
108.63181,-27.918556,-0.5861917
110.599205,-29.208788,-0.59367573
112.55104,-30.515047,-0.6058153
114.48229,-31.879927,-0.6281487
116.3922,-33.252304,-0.64055943
118.27901,-34.661644,-0.6576502
120.15134,-36.139637,-0.67581093
122.016235,-37.680225,-0.68990654
123.88451,-39.243134,-0.69333553
125.76096,-40.815376,-0.69118416
