predicted_x,predicted_y,predicted_theta
0.00017582452,2.5552926,1.5732132
-0.0034621193,3.6710896,1.5783774
-0.012286791,4.745752,1.5849212
-0.027153317,5.7820716,1.5912707
-0.048239846,6.7860646,1.5971229
-0.074868605,7.761587,1.6030508
-0.10615321,8.692794,1.6090858
-0.14248367,9.611569,1.6150866
-0.18322186,10.528714,1.6206466
-0.2285961,11.426837,1.625768
-0.2781305,12.34102,1.6294088
-0.33146906,13.266164,1.6322793
-0.38871014,14.203994,1.6355029
-0.44862646,15.123357,1.6394291
-0.5116405,16.041613,1.6417594
-0.57619476,16.93754,1.6430819
-0.6400033,17.779642,1.6432892
-0.70203257,18.603876,1.6418768
-0.7614756,19.439068,1.6401113
-0.81987745,20.283466,1.6396288
-0.8797528,21.193686,1.6392119
-0.9418419,22.129055,1.641675
-1.007608,23.089663,1.6428959
-1.0755922,24.03954,1.6434443
-1.1442503,24.983326,1.6417742
-1.2104211,25.896095,1.6383404
-1.2725643,26.783459,1.632452
-1.3286811,27.668879,1.6259238
-1.3784404,28.553232,1.6214243
-1.4229414,29.451456,1.6171865
-1.4642174,30.33813,1.6132488
-1.5016322,31.23566,1.6075779
-1.5343169,32.142414,1.6025554
-1.56186,33.080143,1.5985118
-1.5886027,33.983845,1.5979124
-1.6149355,34.8701,1.5963752
-1.6393389,35.740326,1.5947074
-1.6620181,36.589504,1.5928564
-1.6849239,37.3811,1.5915098
-1.7046399,38.152683,1.5877856
-1.7217007,38.88508,1.5849956
-1.7318604,39.6395,1.5788672
-1.7370634,40.404316,1.5733088
-1.738288,41.17211,1.5680497
-1.7348486,41.95155,1.5618722
-1.7272823,42.73105,1.5554347
-1.7139493,43.52385,1.5478469
-1.6950366,44.320023,1.5411823
-1.6716995,45.11122,1.5350183
-1.6433973,45.901947,1.5282263
-1.6121556,46.67385,1.5216184
-1.5739149,47.450176,1.5128491
-1.5264114,48.2446,1.5036347
-1.4722956,49.03863,1.495604
-1.4084584,49.854137,1.4863294
-1.3401241,50.658733,1.4781543
-1.2647512,51.467136,1.4688898
-1.1845142,52.262367,1.4606211
-1.1000181,53.04257,1.4521612
-1.0096627,53.81593,1.4431862
-0.926063,54.524124,1.4359989
-0.8620723,55.11719,1.4308745
-0.7830912,55.72717,1.4196464
-0.6882375,56.357803,1.4070078
-0.5753144,57.02393,1.3939648
-0.45794943,57.67832,1.3842045
-0.31908056,58.387684,1.3718233
-0.16387405,59.130955,1.361585
-0.0001901649,59.88497,1.353537
0.17123216,60.649906,1.3459399
0.34571546,61.41005,1.339303
0.5309843,62.188484,1.3321968
0.7256924,62.980057,1.3259822
0.91855216,63.755905,1.3221805
1.105201,64.50203,1.3189807
1.2869086,65.22227,1.3149011
1.4699761,65.93159,1.3103439
1.6436981,66.60134,1.3080413
1.8299974,67.29263,1.3029593
2.030738,68.012695,1.2966356
2.2317722,68.72459,1.291068
2.4242072,69.403046,1.2856768
2.6100388,70.049614,1.2794021
2.786914,70.65468,1.272858
2.9710488,71.25962,1.2642995
3.1701498,71.885475,1.2557206
3.3660417,72.4897,1.2499863
3.5778124,73.12202,1.2422812
3.7901185,73.74454,1.2359883
4.012687,74.38168,1.2289721
4.247619,75.0372,1.2218089
4.489882,75.69981,1.2147052
4.734658,76.357254,1.2075461
4.9993587,77.0484,1.1989912
5.2763486,77.75486,1.1921618
5.537755,78.41556,1.1868696
5.8144116,79.100555,1.1800404
6.033644,79.65133,1.1797179
6.214256,80.107895,1.1743314
-0.4785527,139.77911,1.5759567
-0.4840808,140.85645,1.5635638
-0.47840458,141.8833,1.5503423
-0.45939362,142.88979,1.5403429
-0.43415567,143.82425,1.5337211
-0.4065585,144.68468,1.5279949
-0.36949772,145.56201,1.5201576
-0.3231791,146.46272,1.5126436
-0.26904532,147.38,1.506552
-0.20942685,148.30414,1.5022985
-0.15200959,149.18001,1.5009124
-0.10959161,149.92368,1.5037638
-0.07997973,150.53288,1.5070815
-0.056109723,151.02013,1.5081486
-0.034779288,151.4072,1.5066887
-0.013764364,151.74629,1.5041877
0.0057865344,152.05151,1.5034178
0.023574546,152.32164,1.5027388
0.04433392,152.62805,1.5045978
0.07383128,153.04848,1.5089207
0.10715708,153.55232,1.51323
0.1455491,154.15587,1.5155643
0.18626659,154.82585,1.5192709
0.23524661,155.61751,1.5190033
0.28607967,156.4633,1.5195566
0.33628064,157.33424,1.51887
0.37907627,158.1693,1.5184703
0.42242008,159.00667,1.5149281
0.45500296,159.75601,1.5164014
0.5046792,160.57803,1.5079665
0.56672615,161.45807,1.5022523
0.63570714,162.37659,1.4984949
0.70730084,163.3105,1.4949254
0.77879256,164.23987,1.4911416
0.8462789,165.1304,1.4870938
0.92899644,166.06851,1.477096
1.017359,166.99902,1.4709506
1.0876881,167.81894,1.466592
1.162289,168.61833,1.4537439
1.2685263,169.48672,1.4372863
1.3976567,170.3963,1.4261335
1.5335883,171.30548,1.4203238
1.6782898,172.23404,1.4156501
1.832731,173.18785,1.4118433
1.9968185,174.17056,1.4081717
2.1601243,175.1501,1.4063214
2.3266573,176.14067,1.4054443
2.4874985,177.11165,1.4066596
2.6433825,178.06891,1.4071884
2.8051581,179.04214,1.4058402
2.979464,180.05396,1.4034811
3.1582346,181.08197,1.402885
3.330263,182.09538,1.4041253
3.4962053,183.0933,1.4049633
3.6594563,184.0813,1.4047034
3.8261924,185.07628,1.4031782
3.9947064,186.06998,1.4009945
4.171319,187.08275,1.3967129
4.356415,188.11362,1.3923159
4.5499144,189.16212,1.3885496
4.756006,190.24268,1.3848107
4.970203,191.3437,1.381556
5.195263,192.47618,1.3778192
5.42503,193.6182,1.3751222
5.653852,194.75749,1.3733556
5.8884053,195.90933,1.3713969
6.1283555,197.07271,1.369134
6.3842797,198.27434,1.3653672
6.6479816,199.49495,1.3623271
6.916844,200.73006,1.3598682
7.1962404,201.99185,1.3572603
7.481639,203.27202,1.3554589
7.774595,204.57426,1.3539171
8.07213,205.89227,1.3526832
8.384962,207.25218,1.3502275
8.706503,208.64052,1.3481362
9.050363,210.08961,1.3440508
9.399349,211.55756,1.3403484
9.738803,213.00253,1.3382673
10.075067,214.42952,1.3351473
10.416193,215.85312,1.3305125
10.714487,217.13965,1.3295988
11.029048,218.43019,1.3213485
11.325801,219.63509,1.3165969
11.647502,220.86517,1.3052548
11.989435,222.11583,1.2972057
12.343395,223.37498,1.2918265
12.700083,224.62193,1.2866471
13.055033,225.84583,1.2814716
13.406374,227.03506,1.2760592
13.757782,228.19771,1.2694381
14.106631,229.32896,1.2633883
14.411863,230.32132,1.2609888
14.739808,231.33678,1.2514985
15.092156,232.399,1.2439896
