predicted forward vel,predicted angular vel
7.083344,0.042471793
7.1515083,0.05444356
7.086209,0.045470312
7.298587,0.04574565
7.4825606,0.047478884
7.5637417,0.0483213
7.5507555,0.04750221
7.34873,0.046232462
7.3662834,0.046368167
7.3691173,0.046256505
7.6981835,0.045176897
7.768166,0.048565894
7.6994452,0.051042512
7.8636994,0.041797932
7.8963113,0.039306767
8.16935,0.034501195
8.436018,0.027575377
8.895004,0.030573264
8.774792,0.020427542
8.75431,0.019702516
8.82197,0.012365294
8.947199,0.0023776162
9.055357,-0.0012555551
9.013425,-0.002460517
9.215139,-0.0040102843
9.015736,0.0047123525
9.016274,0.0025476627
9.242036,0.009075107
9.325478,0.0169567
9.367258,0.022190366
9.735777,0.014593007
9.9518175,0.01955473
9.923042,0.015680125
9.962761,0.02183081
9.849045,0.014178352
9.99638,0.011676978
9.986624,0.01030031
9.870459,0.012525342
9.90138,0.013421482
9.952593,0.017137518
10.082934,0.015347056
9.934048,0.018920597
10.207193,0.021655887
10.239262,0.017224483
10.287865,0.010829106
9.984531,0.007522788
9.774213,0.008886524
9.890057,0.015362861
10.11141,0.01885278
10.260841,0.015793992
10.4766865,0.015658675
10.188124,0.007727638
10.238039,0.008284757
10.064419,-0.0014870241
10.257814,-0.0013224594
10.285934,-0.0023950003
10.25775,0.008954937
10.03243,0.008769266
10.136684,0.006882364
10.080042,0.0025972482
10.079098,0.0077446755
9.953497,0.007055005
9.887075,0.0077597536
9.986485,0.0065327045
10.05094,0.0056747273
9.90347,0.012488725
9.720873,0.016455758
9.411598,0.018737052
9.274911,0.01736466
9.043694,0.017548556
8.292656,0.023537716
8.031597,0.030844063
7.756242,0.03329039
7.786476,0.03425422
7.451261,0.037192367
7.115123,0.033761583
6.937231,0.030549161
6.588963,0.029566275
6.352736,0.027603885
6.344276,0.03139022
6.427329,0.029161058
6.140016,0.032998405
6.045706,0.040268987
6.0606527,0.019954845
5.9225216,0.014172386
5.694236,0.011809485
5.487788,0.01688631
5.4183455,0.014371787
5.2233357,0.011850329
4.8901744,0.011497667
4.709611,0.011469714
4.8962393,0.021304056
4.899809,0.018212836
4.8282413,-0.03727749
4.5134573,-0.15069953
4.493991,-0.19913803
4.5393085,-0.25953147
4.3908186,-0.3355942
4.4621987,-0.4149976
4.4659166,-0.36901814
4.3273616,-0.30872914
4.3092775,-0.25468692
4.2987013,-0.35494328
4.17874,-0.33252156
4.336353,-0.4361516
4.102606,-0.42435247
