predicted forward vel,predicted angular vel
10.037048,-0.3763153
10.232584,-0.3724284
10.352769,-0.38896215
10.009932,-0.40106776
9.848746,-0.40325716
9.779562,-0.3694368
9.801116,-0.3372674
9.776823,-0.3136032
9.756453,-0.34790733
9.689185,-0.34813535
9.713199,-0.31980062
9.573824,-0.30522135
9.500891,-0.2808046
9.151253,-0.25678232
9.471168,-0.25367174
9.510243,-0.30528188
9.463793,-0.30094427
9.368841,-0.27916604
9.291357,-0.2609623
9.259545,-0.24107315
9.027413,-0.26127237
9.295061,-0.20885934
9.267704,-0.1836941
9.322872,-0.17925386
9.299653,-0.19719036
9.380212,-0.21169682
9.542801,-0.21155643
9.515865,-0.23537494
9.570789,-0.25726187
9.683964,-0.2610966
9.816355,-0.25546068
9.752136,-0.23272271
9.899092,-0.21752569
10.022451,-0.20017813
10.134262,-0.20183599
10.351461,-0.19031371
10.50938,-0.18444602
10.5921955,-0.15543614
10.85013,-0.13164352
11.146666,-0.08346758
11.104101,-0.06346673
11.116861,-0.038394168
11.117165,-0.013632916
11.1136265,0.01011026
11.489755,0.010025654
11.843813,0.0144358035
11.9770565,0.009423973
12.076778,0.011065561
12.551666,0.012912696
12.790787,0.011029485
13.025253,0.010759862
13.297895,0.009141972
13.202837,0.01136103
13.571743,0.009665705
13.556543,0.009433897
14.109034,0.0040032323
14.334169,0.002606703
14.5454445,-0.00048018433
14.59561,-0.002489809
14.687794,-0.0029913988
15.0421505,0.00242435
15.153921,0.004971577
15.304619,0.0070569394
15.694891,0.012900804
15.852793,0.01668293
15.885403,0.014535133
15.83136,0.007598945
15.765558,0.00043489784
15.915466,0.0001584962
16.162752,-0.0040962156
16.286076,-0.009538503
16.592152,-0.012366926
16.96184,-0.019016573
17.320889,-0.023322774
17.300959,-0.017160265
17.444777,-0.03594511
17.6909,-0.03805609
18.293247,-0.0550144
18.371086,-0.060504578
18.059896,-0.07799208
18.393536,-0.07538988
17.992773,-0.08013166
17.514616,-0.08788986
17.463444,-0.08707658
17.569206,-0.07434815
17.73839,-0.07029728
17.982065,-0.0604498
18.08271,-0.06792624
18.66621,-0.049003676
18.59444,-0.05136063
18.83384,-0.05135674
19.028877,-0.030719297
19.41057,-0.026438555
19.62166,-0.049176767
19.351807,-0.047120363
19.2604,-0.030071853
19.316452,-0.04166413
19.551733,-0.04350184
19.712616,-0.024477517
19.562796,-0.029539539
19.752607,-0.055113554
20.098083,0.010694869
19.810284,-0.05616297
20.328627,-0.066884115
19.86756,-0.073511116
19.767767,-0.09539467
19.873121,-0.055531643
20.300709,-0.057736717
20.267397,-0.07105282
20.600449,-0.06145817
20.633509,-0.055510677
20.80515,-0.060230784
20.884506,-0.062037386
21.241917,-0.04601886
21.540312,-0.0423078
21.412436,-0.051866576
21.444946,-0.04697632
21.67419,-0.028831145
21.664085,-0.045477554
21.567179,-0.034750134
21.620752,-0.03391379
21.746056,-0.034036368
21.941402,-0.032368742
22.123209,-0.023778064
22.08144,-0.007887742
21.723087,-0.0136946235
21.52089,-0.02291706
21.493494,-0.029730795
21.874731,-0.037375003
21.9504,-0.052668624
22.230831,-0.04726561
22.41994,-0.06727208
22.568226,-0.060275584
22.703844,-0.060994737
22.646328,-0.06477362
22.787422,-0.06771179
22.72376,-0.03454534
22.672838,-0.029501686
22.64365,-0.028125925
22.527466,-0.03024861
22.71181,-0.06455062
22.717714,-0.06729536
22.802122,-0.055717602
22.887419,-0.07466714
23.057127,-0.0838697
22.973997,-0.062977485
23.017859,-0.056811064
22.947802,-0.049371406
22.97495,-0.050191328
22.841267,-0.060686782
22.71762,-0.055412114
22.91164,-0.070750795
22.878336,-0.06554903
22.955843,-0.061798133
23.24381,-0.07948157
23.142605,-0.07795411
23.22098,-0.07835305
23.06155,-0.05351831
23.005962,-0.043361247
23.015362,-0.04782164
23.054993,-0.05438882
23.149666,-0.055408746
23.133236,-0.032875806
23.242634,-0.02100039
23.240936,-0.019330895
23.48693,-0.016142664
23.474743,-0.016422069
23.534115,-0.020979574
23.575304,-0.01817364
23.748905,-0.020933168
23.774021,-0.022600027
23.809929,-0.029696839
23.789152,-0.026754027
23.898943,-0.027869282
24.00668,-0.027591413
24.200933,-0.034855
24.346237,-0.041928545
24.472769,-0.070311755
24.427084,-0.07701503
24.580975,-0.078391865
24.761911,-0.055985227
24.94818,-0.0707514
24.888311,-0.05662565
25.184845,-0.056932457
25.258413,-0.061250627
25.203796,-0.07938045
25.518515,-0.10000753
25.46105,-0.07260205
25.573057,-0.07154092
25.585312,-0.066394985
25.723734,-0.05716259
25.765581,-0.05402623
25.731592,-0.045007274
25.748417,-0.04284595
25.823685,-0.07829567
25.975983,-0.12000173
25.870953,-0.130257
25.877682,-0.13749878
25.93645,-0.15531819
25.972654,-0.16279437
25.996891,-0.16512458
26.053623,-0.17662752
26.129465,-0.19658968
26.176321,-0.18655492
26.61843,-0.13640466
26.882965,-0.08200204
27.04959,-0.023743706
27.032324,0.006029945
26.437466,0.004362828
26.147638,-0.004932346
26.285091,-0.010400588
26.190832,-0.01328399
26.360622,-0.010395465
26.498402,-0.007881772
26.292696,-0.010967579
26.510838,-0.002627205
26.21148,-0.006362213
26.20717,-0.015777012
26.407652,-0.0051651075
26.265503,-0.0034519508
26.347927,-0.0077613425
26.415844,-0.0073583145
26.430954,-0.021517074
26.337498,-0.015351338
26.25991,-0.017453378
26.409807,-0.01107033
26.412767,-0.012927622
26.254183,-0.0092956275
26.304316,-0.0138399135
26.205002,-0.01670952
26.269629,-0.013330432
26.15977,-0.014623906
26.158068,-0.015935486
26.098036,-0.01547434
26.25338,-0.014378533
26.288906,-0.012967981
26.283161,-0.013384853
26.199053,-0.016895866
26.193487,-0.013941506
26.142483,-0.011693319
26.081396,-0.016559577
26.078247,-0.014885688
25.9912,-0.012211464
25.870626,-0.009841107
25.852402,-0.007716667
26.056767,-0.008448139
26.019318,-0.010511611
25.98802,-0.009091713
25.96902,-0.009928985
25.917244,-0.010657109
25.894722,-0.009767711
25.858927,-0.012256131
25.91941,-0.009924712
25.899712,-0.008036396
25.799114,-0.009111656
25.610367,-0.011046825
25.68704,-0.0075843967
25.769552,-0.0026737954
25.70665,0.0028213281
25.721607,-0.0022698957
25.6771,-0.0028265323
25.65462,-0.00159714
25.618366,-0.0034281295
25.58195,3.704615e-05
25.728664,0.0028550737
25.810572,0.0040052338
25.811338,0.006325432
25.804342,0.0069652684
25.815556,0.005364389
25.770193,0.003724549
25.82214,0.0044688284
25.770714,0.0069527505
25.724163,0.0070078187
25.741123,0.007388478
25.73486,0.0072977655
25.78084,0.0063566957
25.7028,0.00886428
25.494547,0.010992644
25.67925,0.00028836168
25.708813,-0.0010146629
25.654093,-0.0030667111
25.610802,-0.0044450834
25.668112,-0.0012838449
25.671255,-0.002690209
25.682484,-0.0033286344
25.653685,-0.00043033995
25.663965,-6.3160434e-05
25.655956,-0.00044718944
25.634157,-8.898601e-05
25.629448,0.00091937
25.641434,0.00021795742
25.603653,-0.0017853137
25.644781,-0.001687862
25.647728,-0.0014389027
25.617264,-0.0027422402
25.596165,-0.0037866533
25.575922,-0.0016939025
25.61993,-0.0023161154
25.576014,0.00027669407
25.648363,-0.001134038
25.607138,0.0007102974
25.634813,-0.0020421464
