predicted forward vel,predicted angular vel
3.3157105,-0.0025795475
3.079119,-0.0011282712
3.0143461,0.012111025
3.1956472,0.024131006
3.1706815,0.052361652
3.3484738,0.0838868
3.2285624,0.1256481
3.226187,0.15834905
3.2791822,0.1903708
3.4703443,0.20444192
3.7979193,0.23884973
3.8978436,0.2202859
4.010188,0.23716363
4.305781,0.20513248
4.3073125,0.1806385
4.4220695,0.13345668
4.4307384,0.10257322
4.578377,0.059523553
4.5871468,0.05543316
4.9462185,-0.014255729
4.922844,-0.028288947
4.978137,-0.0029351767
5.125401,0.001745725
5.116701,-0.0166294
5.2322245,-0.0139485225
5.4152384,-0.15614836
5.4782677,-0.020839768
5.5054913,-0.0039991457
5.656999,-0.0019540973
5.720622,-0.0047086924
5.733704,-0.0167178
5.879202,-0.0066730957
5.9988036,-0.013107184
6.1805706,-0.004541781
6.2769246,-0.0041211955
6.4789386,-0.0051862095
6.5125628,-0.0058681574
6.7830677,-0.009210641
6.9634695,0.0010959022
7.3028107,0.007415533
7.1060505,0.004992148
7.394033,0.007909371
7.345369,0.0069117565
7.382413,0.008563288
7.675735,0.016381977
7.7845125,0.0142100165
7.9024816,0.017903436
7.8501716,0.016941944
7.8729534,0.0075825397
7.9856076,0.0027805362
8.067184,-0.0072681066
8.063385,-0.0349309
8.174628,-0.046100788
8.447884,-0.03557291
8.49887,-0.032218136
8.634964,-0.013763683
8.749264,0.013493355
8.662637,-0.005361641
8.527069,-0.004279297
9.236343,0.028952524
9.770445,0.03666313
9.771836,0.02789856
9.668383,0.04450944
9.759813,0.04734923
9.735668,0.048792653
9.678734,0.051296145
9.731499,0.052715607
9.840961,0.051736474
9.904047,0.06787289
10.041529,0.082295716
10.140581,0.079380855
10.363521,0.07517463
10.516995,0.08069526
10.432371,0.09155593
10.486351,0.08894496
10.4551,0.09003214
10.441924,0.09251855
10.356178,0.07767545
10.347665,0.06587595
10.375469,0.064817704
10.411264,0.07106075
10.442612,0.06812439
10.405458,0.07216764
10.461004,0.064123124
10.465237,0.063457966
10.464413,0.059626244
10.505371,0.059140883
10.481518,0.062030748
10.470779,0.05340509
10.452384,0.041784644
10.495543,0.051656134
10.567101,0.054215305
10.578148,0.088858455
10.657329,0.0968838
10.737455,0.093975976
10.845169,0.06334154
10.78294,0.041542463
10.874161,0.038617432
10.95145,0.015616392
10.9144745,0.020448979
10.972913,0.018578991
11.097191,0.022932628
11.210637,0.022110283
11.200624,0.019161513
11.161526,0.024444303
11.222893,0.018938422
11.252123,0.009844534
11.2916355,0.009733435
11.245002,-0.0049790163
11.389229,-0.0059473924
11.502803,-0.0002218429
11.545127,0.018451896
11.400951,0.024468651
11.6154175,0.03512194
11.505643,0.03361392
11.697438,0.05122184
11.889212,0.057766892
11.830658,0.036787547
11.902304,0.027760841
11.809702,0.02761639
11.910456,0.014806187
11.941463,0.014207557
12.016506,0.014344479
11.900684,0.014924949
12.042377,0.004697322
12.132362,0.0008914871
12.055017,0.0033944277
12.049301,0.0033104718
12.207592,0.013116601
12.216158,0.04110317
12.31628,0.041299444
12.397308,0.03986521
12.421118,0.026644964
12.457779,0.036065847
12.2276745,0.025914092
11.962854,0.033143304
12.04701,0.02375512
12.045822,0.022833455
11.989101,0.007098238
11.95409,0.015110945
11.760935,0.018798212
11.656742,0.027573211
11.448276,0.031517453
11.735767,0.0038186125
11.825882,8.8799745e-05
11.789553,-0.018968275
11.761721,-0.036666147
11.39737,-0.025011333
11.2284355,-0.02912295
11.384414,-0.007547252
11.318636,-0.0069157016
11.009321,-0.0329433
10.970343,-0.031975828
10.814207,-0.05797919
10.871101,-0.04773421
10.858918,-0.049692623
10.855795,-0.042034023
10.74042,-0.071989164
10.675651,-0.09121062
10.707654,-0.084002465
10.576733,-0.09021291
10.567995,-0.10070313
10.675072,-0.10884646
10.706245,-0.11592713
10.735704,-0.12905264
10.540913,-0.13665491
10.4941,-0.1341254
10.491396,-0.12513547
10.559174,-0.12669751
10.641531,-0.15706557
10.359238,-0.120239586
10.4312935,-0.09917207
10.195919,-0.066972084
10.474821,-0.0014517345
10.311208,-0.012602771
9.815587,-0.015847413
9.364961,-0.029166909
9.513807,-0.03969519
9.857834,-0.034187287
9.751507,-0.030880263
9.389389,-0.039603315
9.325968,-0.04918603
9.213344,-0.053485103
9.061953,-0.06542467
8.997751,-0.079294465
9.0081005,-0.09594761
8.715364,-0.12852733
8.573683,-0.14685385
8.494905,-0.16027986
8.385367,-0.15399227
8.368217,-0.13376917
8.332552,-0.10765292
8.268318,-0.10425514
8.06468,-0.11408456
7.9125266,-0.13015366
8.207008,-0.14697626
8.243673,-0.16301344
8.272053,-0.1728604
8.324532,-0.1730415
8.412409,-0.17219247
8.337891,-0.17597505
8.314565,-0.17108686
8.26833,-0.16669206
8.219229,-0.15020926
8.209027,-0.116851315
8.361538,-0.14156733
8.408117,-0.1321653
8.533908,-0.13816969
8.378408,-0.12972322
8.486759,-0.13601445
8.563118,-0.13305105
8.619833,-0.13256879
8.821934,-0.12973803
9.2364025,-0.13873914
9.401058,-0.16357999
9.577169,-0.15328339
9.601726,-0.1417739
9.556765,-0.13007247
9.557571,-0.1138259
9.564087,-0.11555633
9.725927,-0.13418068
9.871822,-0.15173925
10.260227,-0.16799684
10.58556,-0.18185773
10.663408,-0.17659786
10.75932,-0.17919995
10.804733,-0.17255302
10.833461,-0.17623174
10.877348,-0.18460754
10.914951,-0.18075946
10.8997965,-0.18463354
10.985217,-0.1839671
11.13608,-0.18025492
11.403482,-0.18730357
11.53227,-0.18052526
11.679015,-0.17655899
11.951189,-0.17154084
12.071917,-0.16055974
12.157612,-0.15776189
12.258062,-0.15767424
12.334726,-0.15911387
12.41753,-0.15238337
12.427193,-0.1448753
12.455132,-0.14341004
12.560793,-0.15063837
12.682629,-0.16058561
12.849981,-0.17869735
13.012598,-0.19674863
13.242563,-0.20363067
13.28274,-0.20846115
13.239622,-0.20627597
13.485323,-0.20730066
13.448999,-0.20359999
13.369879,-0.19725771
13.544983,-0.19453397
13.721321,-0.20640627
13.78265,-0.21269958
13.7962055,-0.22013831
13.985832,-0.22594959
14.072758,-0.22950524
14.019794,-0.22303243
14.076973,-0.22129367
14.0998,-0.22156844
14.090771,-0.21825197
14.209484,-0.22021656
14.223425,-0.22014539
14.239002,-0.2219008
14.328938,-0.22298568
14.375416,-0.23389079
14.499811,-0.24937515
14.474361,-0.25085595
14.633532,-0.26257092
14.686144,-0.26241332
14.774561,-0.26642215
14.787403,-0.26855305
14.710115,-0.2598556
14.625359,-0.23980774
14.4739895,-0.23749553
14.504284,-0.24152671
14.413307,-0.23300368
14.38121,-0.22887443
14.511017,-0.22761042
14.421597,-0.21159239
14.171402,-0.19373128
14.130547,-0.18984148
14.156996,-0.19426684
14.036112,-0.18783794
13.798861,-0.18022646
13.598507,-0.1754424
13.25091,-0.15769482
13.065718,-0.15253893
12.936131,-0.14138715
12.697557,-0.11417858
12.666187,-0.104701474
12.591532,-0.11527869
12.522242,-0.10097686
12.435034,-0.0991781
12.485987,-0.109125644
12.3632965,-0.11092283
12.175095,-0.11212683
12.040405,-0.1118108
12.025276,-0.09120719
11.95936,-0.09566362
11.811224,-0.09205808
11.686832,-0.07729851
11.499841,-0.05353328
11.423491,-0.040431067
11.2317505,-0.024340054
11.299183,0.010184066
11.203207,-0.0011279583
11.173291,0.0023401603
10.756156,0.012405947
10.377852,0.022927819
10.347221,0.024135182
10.340361,0.020783208
10.219845,0.02486097
10.232801,0.02513077
10.288066,0.04019297
10.295816,0.043762974
10.153612,0.06008883
9.931154,0.08790856
9.892996,0.08688973
9.940442,0.08408639
9.905514,0.08471605
9.853112,0.09883851
9.691677,0.10006648
9.484868,0.127276
9.500879,0.11442376
9.525872,0.11111775
9.405657,0.108594134
9.384424,0.10761967
9.439223,0.09883981
9.477824,0.11221717
9.3750305,0.11825891
9.299496,0.119932726
9.266756,0.11459086
9.30378,0.11818823
9.209835,0.108285144
9.156191,0.11135511
9.000118,0.12377451
9.191187,0.11393293
9.361166,0.10707961
9.369281,0.102806985
9.43799,0.1122215
9.265492,0.10604318
9.268271,0.11980012
9.342946,0.117075644
9.333596,0.12314472
9.325146,0.11831111
9.435078,0.115827605
9.474297,0.11548264
9.538321,0.10312671
9.397549,0.1101145
9.309164,0.11899948
9.38035,0.11683058
9.445503,0.1196353
9.292263,0.120124124
9.407988,0.10935155
9.371433,0.106491886
9.397584,0.11423695
9.405849,0.11215047
9.401581,0.10178364
9.407791,0.10504933
9.607793,0.10982196
9.452726,0.11025618
9.397298,0.10611261
9.653873,0.112554386
9.598555,0.11030744
9.638222,0.1329557
9.51335,0.12237856
9.408339,0.10894308
9.372583,0.10384948
9.245436,0.10100557
9.122356,0.10404921
9.11958,0.095325
9.226536,0.09227842
9.183864,0.09464709
9.249177,0.097493
9.198465,0.11852325
9.241793,0.10529198
9.236176,0.09079836
9.255108,0.06724509
9.138834,0.069308475
9.158152,0.0718587
9.122797,0.07320987
9.116111,0.07629681
9.136616,0.080559924
9.2100315,0.08841983
9.279713,0.09251946
9.297749,0.093677655
9.175539,0.100482695
9.148508,0.10252552
9.068811,0.10354893
9.26034,0.10125301
9.290014,0.09556802
9.295902,0.07814716
9.055706,0.080910005
9.144686,0.044590205
9.16835,0.018220345
9.108032,0.038757086
8.992825,0.01645324
8.936531,0.00019391812
8.862324,-0.0016363077
8.844463,-0.0030777566
8.883562,0.0063960105
9.078018,0.014567842
9.248572,0.011024067
9.371815,0.028157182
9.436492,0.036587246
9.370773,0.037292358
9.21777,0.0153969955
9.354105,0.0092857815
9.41222,0.02770165
9.618084,0.03639468
9.516096,0.057239197
9.485788,0.06464642
9.491529,0.07417643
9.523201,0.07392204
9.455309,0.0802651
9.474859,0.08245272
9.374094,0.08020463
9.431198,0.0838889
9.4518175,0.07817276
9.419233,0.08330384
9.383442,0.08157694
9.361977,0.08224833
9.3553295,0.082845025
9.413283,0.08414604
9.438065,0.08442699
9.64665,0.08705386
9.594034,0.071857564
9.544792,0.0659294
9.511539,0.07251126
9.505196,0.07255846
9.495724,0.066637926
9.603281,0.0618909
9.548633,0.055808835
9.681629,0.055240035
9.725222,0.04572317
9.596899,0.029266872
9.701855,0.021943893
9.931046,0.028437093
10.167181,0.03702899
