epoch, iteration, loss, error
0, 0, 5391.95947265625, 73.42996215820312
0, 80, 526.5221557617188, 22.946069717407227
0, 160, 474.3473205566406, 21.779516220092773
0, 240, 400.3936462402344, 20.009838104248047
0, 320, 353.2359924316406, 18.794572830200195
0, 400, 413.7156066894531, 20.340002059936523
0, 480, 390.10302734375, 19.751026153564453
0, 560, 426.3249816894531, 20.64763832092285
0, 640, 221.25352478027344, 14.874593734741211
0, 720, 388.00238037109375, 19.697776794433594
0, 800, 192.2000274658203, 13.863622665405273
1, 0, 317.27374267578125, 17.812179565429688
1, 80, 337.9717102050781, 18.384008407592773
1, 160, 309.4892272949219, 17.59230613708496
1, 240, 261.2732849121094, 16.163949966430664
1, 320, 282.243896484375, 16.80011558532715
1, 400, 313.099853515625, 17.69462776184082
1, 480, 342.4634094238281, 18.505767822265625
1, 560, 252.5619659423828, 15.89219856262207
1, 640, 178.1398162841797, 13.346903800964355
1, 720, 274.1760559082031, 16.558263778686523
1, 800, 164.287109375, 12.817453384399414
2, 0, 218.0507354736328, 14.766541481018066
2, 80, 247.213134765625, 15.723012924194336
2, 160, 237.6844940185547, 15.417019844055176
2, 240, 252.07284545898438, 15.876801490783691
2, 320, 256.1405029296875, 16.004390716552734
2, 400, 174.54608154296875, 13.211587905883789
2, 480, 320.80889892578125, 17.9111385345459
2, 560, 153.08226013183594, 12.372642517089844
2, 640, 203.7630157470703, 14.274559020996094
2, 720, 227.581787109375, 15.0858154296875
2, 800, 217.05908203125, 14.732926368713379
3, 0, 166.1790008544922, 12.891042709350586
3, 80, 222.12168884277344, 14.903746604919434
3, 160, 211.17352294921875, 14.531810760498047
3, 240, 190.52552795410156, 13.803096771240234
3, 320, 240.36697387695312, 15.503772735595703
3, 400, 179.1601104736328, 13.38507080078125
3, 480, 247.8812255859375, 15.744243621826172
3, 560, 187.95108032226562, 13.709524154663086
3, 640, 170.1781768798828, 13.045235633850098
3, 720, 231.29043579101562, 15.208236694335938
3, 800, 127.2033462524414, 11.27844524383545
4, 0, 182.50177001953125, 13.509321212768555
4, 80, 124.76214599609375, 11.169698715209961
4, 160, 152.95220947265625, 12.367384910583496
4, 240, 162.00265502929688, 12.728025436401367
4, 320, 148.1487274169922, 12.171636581420898
4, 400, 161.845947265625, 12.721868515014648
4, 480, 262.40631103515625, 16.198959350585938
4, 560, 111.66471862792969, 10.567152976989746
4, 640, 82.61036682128906, 9.089024543762207
4, 720, 169.16815185546875, 13.006465911865234
4, 800, 121.6994857788086, 11.031749725341797
5, 0, 138.94384765625, 11.787444114685059
5, 80, 144.63043212890625, 12.026238441467285
5, 160, 181.6477508544922, 13.477676391601562
5, 240, 170.67198181152344, 13.06414794921875
5, 320, 112.0918960571289, 10.587346076965332
5, 400, 144.45187377929688, 12.018813133239746
5, 480, 187.36309814453125, 13.688063621520996
5, 560, 111.14997100830078, 10.542769432067871
5, 640, 95.89237976074219, 9.792466163635254
5, 720, 178.163818359375, 13.34780216217041
5, 800, 112.29669189453125, 10.597014427185059
6, 0, 126.40261840820312, 11.242891311645508
6, 80, 134.1473846435547, 11.58220100402832
6, 160, 146.05120849609375, 12.085164070129395
6, 240, 152.1733856201172, 12.335857391357422
6, 320, 124.11898803710938, 11.140870094299316
6, 400, 100.49128723144531, 10.024534225463867
6, 480, 141.28729248046875, 11.886433601379395
6, 560, 86.1100082397461, 9.279547691345215
6, 640, 97.7917251586914, 9.888969421386719
6, 720, 118.89086151123047, 10.903708457946777
6, 800, 114.66207122802734, 10.708037376403809
7, 0, 119.46981048583984, 10.930224418640137
7, 80, 119.83049011230469, 10.946710586547852
7, 160, 166.42984008789062, 12.900769233703613
7, 240, 96.05998229980469, 9.801018714904785
7, 320, 103.57757568359375, 10.177306175231934
7, 400, 155.00030517578125, 12.449910163879395
7, 480, 161.7329559326172, 12.717428207397461
7, 560, 126.09532165527344, 11.229217529296875
7, 640, 40.82098388671875, 6.389129638671875
7, 720, 129.42889404296875, 11.37668228149414
7, 800, 85.17737579345703, 9.229159355163574
8, 0, 91.4588623046875, 9.5634126663208
8, 80, 140.95164489746094, 11.872305870056152
8, 160, 120.80487060546875, 10.991127967834473
8, 240, 112.29109954833984, 10.596750259399414
8, 320, 127.92420196533203, 11.310359001159668
8, 400, 74.23921966552734, 8.616218566894531
8, 480, 125.17688751220703, 11.188247680664062
8, 560, 106.1329574584961, 10.302085876464844
8, 640, 120.87630462646484, 10.994377136230469
8, 720, 93.26618194580078, 9.657442092895508
8, 800, 83.45179748535156, 9.135196685791016
9, 0, 94.76461791992188, 9.734711647033691
9, 80, 81.07335662841797, 9.004074096679688
9, 160, 134.1751251220703, 11.583399772644043
9, 240, 99.33148956298828, 9.96651840209961
9, 320, 102.27141571044922, 10.112933158874512
9, 400, 94.82235717773438, 9.737677574157715
9, 480, 91.61881256103516, 9.571770668029785
9, 560, 96.95381164550781, 9.846512794494629
9, 640, 75.19091033935547, 8.671270370483398
9, 720, 137.54469299316406, 11.727945327758789
9, 800, 71.61707305908203, 8.462687492370605
10, 0, 67.23344421386719, 8.199601173400879
10, 80, 153.9523162841797, 12.407753944396973
10, 160, 113.44059753417969, 10.650848388671875
10, 240, 84.57071685791016, 9.196233749389648
10, 320, 91.93594360351562, 9.588323593139648
10, 400, 62.99595260620117, 7.936999320983887
10, 480, 113.98920440673828, 10.676572799682617
10, 560, 104.57606506347656, 10.22624397277832
10, 640, 94.8300552368164, 9.73807144165039
10, 720, 90.12881469726562, 9.493619918823242
10, 800, 59.08540344238281, 7.686703205108643
11, 0, 84.8901596069336, 9.21358585357666
11, 80, 106.94058990478516, 10.341208457946777
11, 160, 82.99705505371094, 9.110272407531738
11, 240, 76.31182861328125, 8.735663414001465
11, 320, 80.79974365234375, 8.98886775970459
11, 400, 77.4164047241211, 8.798659324645996
11, 480, 97.16551971435547, 9.857256889343262
11, 560, 79.59635162353516, 8.921679496765137
11, 640, 73.04136657714844, 8.54642391204834
11, 720, 141.23048400878906, 11.88404369354248
11, 800, 81.03255462646484, 9.001808166503906
12, 0, 90.40501403808594, 9.50815486907959
