epoch, iteration, loss, error
0, 0, 3690977.0, 1921.191650390625
0, 2, 3578593.0, 1891.7169189453125
0, 4, 7136530.0, 2671.4287109375
0, 6, 5658594.5, 2378.780029296875
0, 8, 5511899.5, 2347.74365234375
0, 10, 1129280000.0, 33604.76171875
0, 12, 2849244.75, 1687.9705810546875
0, 14, 4272206.5, 2066.931396484375
0, 16, 5088035.5, 2255.667236328125
0, 18, 4391466.0, 2095.58251953125
1, 0, 3423534.0, 1850.2794189453125
1, 2, 3123664.75, 1767.38916015625
1, 4, 6573575.0, 2563.8984375
1, 6, 5434282.5, 2331.15478515625
1, 8, 5128476.0, 2264.61376953125
1, 10, 983933696.0, 31367.716796875
1, 12, 2753138.5, 1659.2584228515625
1, 14, 4261943.5, 2064.447509765625
1, 16, 4990498.0, 2233.9423828125
1, 18, 4289126.5, 2071.0205078125
2, 0, 3400746.0, 1844.111083984375
2, 2, 3210772.25, 1791.86279296875
2, 4, 6705136.0, 2589.427734375
2, 6, 5370854.5, 2317.51025390625
2, 8, 5359745.0, 2315.1123046875
2, 10, 1142481536.0, 33800.6171875
2, 12, 2801224.0, 1673.6856689453125
2, 14, 3997116.5, 1999.2789306640625
2, 16, 5108355.5, 2260.1669921875
2, 18, 4334562.0, 2081.9609375
3, 0, 3400918.0, 1844.1578369140625
3, 2, 3371796.0, 1836.2451171875
3, 4, 7035269.5, 2652.408447265625
3, 6, 5455687.0, 2335.7412109375
3, 8, 5506453.5, 2346.583251953125
3, 10, 1171548288.0, 34227.890625
3, 12, 2839422.25, 1685.05859375
3, 14, 3966939.0, 1991.71728515625
3, 16, 5033162.5, 2243.470947265625
3, 18, 4359795.0, 2088.01220703125
4, 0, 3359340.5, 1832.850341796875
4, 2, 3407799.5, 1846.0225830078125
4, 4, 6830421.0, 2613.507568359375
4, 6, 5319794.5, 2306.468017578125
4, 8, 5427427.0, 2329.68359375
4, 10, 819768064.0, 28631.59375
4, 12, 2751351.5, 1658.7197265625
4, 14, 4007550.25, 2001.886474609375
4, 16, 5002467.0, 2236.619384765625
4, 18, 4239318.0, 2058.96044921875
5, 0, 3295331.5, 1815.3046875
5, 2, 3357187.75, 1832.262939453125
5, 4, 6751233.0, 2598.313720703125
5, 6, 5249992.5, 2291.2861328125
5, 8, 5371508.5, 2317.651611328125
5, 10, 971528384.0, 31169.349609375
5, 12, 2735041.25, 1653.7960205078125
5, 14, 4017751.0, 2004.432861328125
5, 16, 4869241.0, 2206.6357421875
5, 18, 4154693.75, 2038.3065185546875
6, 0, 3266030.25, 1807.2159423828125
6, 2, 3179894.0, 1783.225830078125
6, 4, 6536598.0, 2556.677001953125
6, 6, 5165806.0, 2272.841064453125
6, 8, 5067049.0, 2251.010498046875
6, 10, 869861888.0, 29493.419921875
6, 12, 2642806.5, 1625.6710205078125
6, 14, 4190825.75, 2047.1505126953125
6, 16, 4765169.0, 2182.9267578125
6, 18, 4049133.5, 2012.2457275390625
7, 0, 3238229.25, 1799.508056640625
7, 2, 3085212.0, 1756.47705078125
7, 4, 6322109.0, 2514.38037109375
7, 6, 5049428.0, 2247.09326171875
7, 8, 5068441.0, 2251.31982421875
7, 10, 868900672.0, 29477.119140625
7, 12, 2563954.0, 1601.235107421875
7, 14, 4183843.25, 2045.4447021484375
7, 16, 4788788.5, 2188.330078125
7, 18, 4007903.0, 2001.9747314453125
8, 0, 3177725.5, 1782.61767578125
8, 2, 3063843.75, 1750.384033203125
8, 4, 6255093.0, 2501.018310546875
8, 6, 4971611.0, 2229.711181640625
8, 8, 4941083.0, 2222.854736328125
8, 10, 787231168.0, 28057.640625
8, 12, 2538502.5, 1593.2679443359375
8, 14, 4232395.0, 2057.278564453125
8, 16, 4782769.0, 2186.9541015625
